Summary,"*btax
*econ res",,,,,,,,,Gas Revenue (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$447:$PT$447)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$447:$PT$447)/1000",=SUM(L11:P11),,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Oil (Mbbl),Gas (MMcf),NGL & Cond (Mbbl),Res. (mboe),NPV10 (M$),ROR (%),Capital (M$),,,NGL + Cond (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$453:$PT$453)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$450:$PT$450)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$453:$PT$453)/1000",=SUM(L12:P12),,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,='Model (Tec-10)'!I403/1000,='Model (Tec-10)'!I404/1000,='Model (Tec-10)'!I406/1000+'Model (Tec-10)'!J407/1000,='Model (Tec-10)'!I408/1000,='Model (Tec-10)'!J580/1000,='Model (Tec-10)'!I578,=-'Model (Tec-10)'!J572/1000,=B3,,Revenue (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$454:$PT$454)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$454:$PT$454)/1000",=SUM(L13:P13),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Royalties (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$483:$PT$483)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$483:$PT$483)/1000",=SUM(L14:P14),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Opex (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$500:$PT$500)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$500:$PT$500)/1000",=SUM(L15:P15),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Operating Netback (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$502:$PT$502)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$502:$PT$502)/1000",=SUM(L16:P16),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Capital (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$574:$PT$574)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$574:$PT$574)/1000",=SUM(L17:P17),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Net Operating Income (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$578:$PT$578)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$578:$PT$578)/1000",=SUM(L18:P18),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cumulative Net Operating Income (MM$),=L18/1000,=L19+M18/1000,=M19+N18/1000,=N19+O18/1000,=O19+P18/1000,=P19+Q18/1000,=Q19+R18/1000,=R19+S18/1000,=S19+T18/1000,=T19+U18/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Discounted Net Operating Income (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$580:$PT$580)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$580:$PT$580)/1000",=SUM(L20:P20),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Per Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Oil (bbl/d),=L5/365*1000,=M5/365*1000,=N5/365*1000,=O5/365*1000,=P5/365*1000,=Q5/365*1000,=R5/365*1000,=S5/365*1000,=T5/365*1000,=U5/365*1000,=AVERAGE(L23:P23),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Oil Revenue ($/bbl),=L10/L5,=M10/M5,=N10/N5,=O10/O5,=P10/P5,=Q10/Q5,=R10/R5,=S10/S5,=T10/T5,=U10/U5,=AVERAGE(L24:P24),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gas Revenue ($/mcf),=L11/L6,=M11/M6,=N11/N6,=O11/O6,=P11/P6,=Q11/Q6,=R11/R6,=S11/S6,=T11/T6,=U11/U6,=AVERAGE(L25:P25),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,NGL + Cond ($/bbl),=L12/L7,=M12/M7,=N12/N7,=O12/O7,=P12/P7,=Q12/Q7,=R12/R7,=S12/S7,=T12/T7,=U12/U7,=AVERAGE(L26:P26),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Revenue ($/boe),=L13/L8,=M13/M8,=N13/N8,=O13/O8,=P13/P8,=Q13/Q8,=R13/R8,=S13/S8,=T13/T8,=U13/U8,=AVERAGE(L27:P27),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Royalties ($/boe),=L14/L8,=M14/M8,=N14/N8,=O14/O8,=P14/P8,=Q14/Q8,=R14/R8,=S14/S8,=T14/T8,=U14/U8,=AVERAGE(L28:P28),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Opex ($/boe),=L15/L8,=M15/M8,=N15/N8,=O15/O8,=P15/P8,=Q15/Q8,=R15/R8,=S15/S8,=T15/T8,=U15/U8,=AVERAGE(L29:P29),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Operating Netback ($/boe),=L16/L8,=M16/M8,=N16/N8,=O16/O8,=P16/P8,=Q16/Q8,=R16/R8,=S16/S8,=T16/T8,=U16/U8,=AVERAGE(L30:P30),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Net Operating Income ($/boe),=L18/L8,=M18/M8,=N18/N8,=O18/O8,=P18/P8,=Q18/Q8,=R18/R8,=S18/S8,=T18/T8,=U18/U8,=AVERAGE(L31:P31),,,,,,,,,,,,,,,,,,,,,,,,,,,
