id,kind,local_dir,name,priority,size_bytes_observed,modified_time_observed,notes
1--GXlHahL7msz7IRq-43bw5ms0CqD1uW,file,tec12_drill,GLJ Price Deck - oct20.xlsx,medium,91367,2020-11-11T18:25:24Z,Added - price deck behind the Simmons proforma (task 1/2).
1gwOn0TkaeNTLatCnRbjGe-woMF4HUHy6,file,tec12_drill,Oil Price History and Forecast - 11-11-2020.csv,medium,25719,2020-11-11T18:54:17Z,Added.
13aGhnQvH2jiV5AbpCIlh1n_-3Y22Yf6e,file,tec12_drill,Tonalli Contractual Fee and Exploration Tax.xlsx,medium,15265,2020-11-12T20:23:37Z,Added - fiscal terms.
1YtfHcgJJHgNb_k1ewSJT5p_efdXjbdWm,file,tec12_drill,Simmons Payout Comparison (2).xlsx,medium,541677,2020-11-10T16:11:13Z,Added - four-case payout source.
1qos6gyTYXCZX6dnqxdaAFNaoYMSl8S66,file,tec12_drill,Simmons Payout Comparison.xlsx,low,441415,2020-11-10T14:32:39Z,Added - earlier version of the above.
1rDRffIIJIpcLEkw4HZ4il79xAFu1fEaO,file,tec12_drill,20201112 Durum-Simmons Tecolutla Participation.xlsx,low,334433,2020-11-24T20:31:05Z,Added - participation / cost-structure context.
1mrlr7QOgXJtbyaOMeHwv-UwtPqrpmWL0,file,tec12_drill/OLD,Economic Model (Tecolutla August 2020) - FOR TRANS PLAN (TEC-12 Drill Econ).xlsm,medium,2675750,2025-08-18T18:49:24Z,Added - tenth economic model; predecessor of the Feb 2022 lineage. modifiedTime Aug 2025.
1uooDwPBw_7nOK2Q7PVteI-0m7KTV7MIr,file,tec12_drill/OLD,20201110 Tecolutla Economics (Simmons) v3.xlsx,low,361262,2020-11-12T20:52:08Z,Added - Simmons v1/v2/v3 lineage.
1YkMK3_VVBiQg14yndJsuHUjwbECFr1ZI,file,tec12_drill/OLD,20201110 Tecolutla Economics (Simmons) v2.xlsx,low,989782,2020-11-12T16:07:12Z,Added.
1u3yMe7q2i8fbazdvJ5Ica1ISN7CwFEyk,file,tec12_drill/OLD,20201110 Tecolutla Economics (Simmons).xlsx,low,394330,2020-11-11T23:32:59Z,Added.
1MUV4h1iC9cz2zYYUkqu2jyCdB9Oa2bGu,folder,geology,Tecolutla Well Logs,high,,,100+ LAS/LIS/TIF - wells 2 3 5 6 7 9 10 11 101. Recursed.
1b7dINYCGMxcc4o4L7IfiK6tCVPfvyGOK,folder,geology,Directional Survey,high,,,Folder containing TECOLUTLA DIRECTIONAL SURVEY DATA.CSV (1OKpQuvjCMGuKX7_-9eZNOTV0-gWbXPYi).
1eS4NV3LT1NF-Hcwjz31owwkv34LTxnI6,folder,geology,Tecolutla Perforations,high,,,Folder containing Tecolutla Perforations Information.csv (1drqIuDi_2PVZZSHV3li5cwtPi4XyoW2k).
1Utf__mkt3m3KPT-3J0ZnFcAH_5VwiHRZ,folder,geology,Tecolutla Well header Information,high,,,Folder containing Tecolutla Well Header Information.csv (1hyjTjReFgeJSvJJOdidHYIso2AGevDZK).
1BbEeSgFaxmNewRXhAbOLWa0mYozlRCsM,folder,geology,Tec-11 DES Sample Descriptions,highest,,,"Contains the Rise Energy mud log PDF Tecolutla-11Des Columna Litologica 40-3283 MD.pdf (1NVoaGiQc8n21gIwVWGn3-5UUKlg0FN2y; 536,192 B; 2018-12-04). Task 3."
1dxjw4IG13Fq6kTP8i5HkkGrQHD0aZkrM,folder,geology,Tecolutla-10 Core and Sample Descriptions,medium,,,Added - facies control for the correlation panel.
1enIT7tkiG6sbDkTJlWcE7GjrX2XLuB65,folder,geology,Petrophysics,high,,,"Parent is the Jaguar Due Deligence root (1zWvp3hYxAYnjtJFCFxatNP8YA1_bjTbY), not Geology. Contains LAS subfolder, XSections & Logs.xlsx, Potential Pay left behind in TEC-9 and TEC-6.pptx, TEC-9 SS Logs.pptx, PROGRAMA DE PERFORACION 12DES VER1.1.pdf."
1FivwQDgxkzEufcVJj42AUUValzaPLKyC,folder,geology,Pressures,high,,,"Parent is the Jaguar Due Deligence root. 20 static-gradient PDFs (TEC-2 1956/1964, TEC-6 1964/1971 x11/1973, TEC-7 1964/1998), TEC-2 2018 static gradient xlsx, TEC-2 2018 flow-and-build subfolder. Task 5."
17bxvH7xAYe9wfLEj8JYn_Kz31MVgqDrL,file,geology,Tecolutla Pressure Summary.xlsx,high,34754,2018-05-12T22:27:59Z,"Task 5. In the Pressures folder (also pulled by recursion; md5-skip handles the duplicate). 34,754 B; 2018-05-12."
1E4f1NeV8pqDDuOV1h073jIbhctbPTN1R,folder,geology,Fluid Analyzes,medium,,,Parent is the Jaguar Due Deligence root.
19DHG8n7BhFErTQaJJg81vigJMYuaVW7Y,file,appraisal_plan,Production (Tecolutla).xlsx,high,1159966,2022-05-27T01:49:55Z,
1oIBQTtf-P11dBhIcxmhTp71nRJ_IU3p5,file,appraisal_plan,Tecolutla Production to Dec 2018.xlsx,high,687388,2022-05-27T01:48:32Z,
1snFP_ndmVOQuqzmY0jK5UWy6WtoO5px_,file,appraisal_plan,Tecolutla Production History (Possible Solution GOR).xlsx,high,782586,2022-05-27T01:28:46Z,GOR anomaly - task 4.
1ZsG6QWY_IzEVnh7qpOthApjVWq0XncUL,file,appraisal_plan,Tecolutla Production Summary (by well by perf interval).xlsx,high,14818,2021-01-27T19:52:08Z,
1ONhREcEViJJogCAgiQOlT2tAU8xAzaFC,file,appraisal_plan,Tecolutla Type Curve Calculation for CNH.xlsx,high,94412,2022-06-04T18:00:53Z,
1EGvc6_3ASOq3d5HsS7KEipxvSpjL_MsA,file,appraisal_plan,Tecolutla Type Curve.xlsx,medium,139055,2022-03-15T16:59:07Z,Added - later-dated duplicate of the TEC-12 Drill copy.
1jRu2e3W-WSNDa_nn9d94iFaX2PROOAIa,file,appraisal_plan,PVT Calculator (Tecolutla).xlsx,medium,64344,2022-03-08T20:20:54Z,
1xVMk3sM2k8bP6SJ37SXxNvnGv-DcYChA,file,appraisal_plan,201807 Tecolutla-10 Welltest Data.xlsx,medium,9594784,2022-06-28T05:00:10Z,9.6 MB.
1dbCNk_hXp_bVi6N5Xh9-_vDJSDlH6zjL,file,appraisal_plan,HWrates (TEC-11).xls,medium,218624,2022-06-21T18:11:40Z,Legacy .xls - read with xlrd.
1HN97MVigKiamt_6JRA_eo6Hb8Oe3wHOT,file,appraisal_plan,Petrel Robertson Volumetrics.xlsx,high,10535,2022-05-25T16:23:15Z,Task 7.
1eln5w1CtJgTptaIKe3_vQNnG3XEFVklk,file,appraisal_plan,El Abra Trend Field Analogies.xlsx,high,51524,2022-03-08T20:10:10Z,7.8 MMbbl OOIP figure - task 7.
1NXsHrHiXEJZduOtjvW_zLFDuU4DSiY9s,file,appraisal_plan,20180726 Tec-10 Quick IPR2.xlsx,low,41331,2022-06-28T17:05:59Z,Added.
1UBkJfd1yyn1fprYrNw6mBq9CWt4l_RAI,file,appraisal_plan,Transition plan-Production chapter.docx,medium,286371,2022-06-28T16:48:45Z,Added - narrative to check the production database against.
1yT2Ty8M-x_QVU1xQXGZOyPUejSpFfQZl,file,appraisal_plan,6 -Resumen Campo Tecolutla.docx,medium,2520212,2022-03-08T20:28:51Z,Added - Spanish field summary.
1UsBhsPiZxl0Y2dvtpSbZ9PkFzhS7dqBK,file,appraisal_plan,GLJ jan22.xlsx,medium,61757,2022-02-17T16:14:40Z,Added - price deck for the Feb 2022 models.
12DotAhpv-KqCr0MjcJreEDUNiNkIY9KB,file,appraisal_plan,Economic Model (Tecolutla Feb 2022).xlsm,high,3340446,2022-04-11T18:11:51Z,Feb 2022 model v1.
1VOEB-dUwA09jvs6wbQSKf8RKk8wzfzlI,file,appraisal_plan,Economic Model (Tecolutla Feb 2022)2.xlsm,high,3340638,2022-04-11T18:10:15Z,v2.
1ypfeJBmQ6E5PlpDp9pYbWpGlBe6cS8gp,file,appraisal_plan,Economic Model (Tecolutla Feb 2022)3.xlsm,high,3541927,2022-04-11T18:08:24Z,v3.
1ot-v1ZrauI5EEACfa0pKQT5c6QwMBq-x,file,appraisal_plan,Economic Model (Tecolutla Feb 2022)4 (Tec12 & Tec13).xlsm,high,3621892,2022-06-17T00:37:10Z,v4.
1AbvVow3BUfBiosuUY6ecTiFhP21YWg29,file,appraisal_plan,Economic Model (Tecolutla Feb 2022)5 (HZ).xlsm,high,3493335,2022-04-12T01:35:16Z,v5.
1eRA1FGuueEBv1veIv1N8LWQa_CDCsm6y,file,development_plan,Economic Model (Tecolutla Feb 2022)6 (Tec12 13 14 & 15).xlsm,high,3175749,2022-06-17T21:26:10Z,v6.
1OH71zEL3zrTF1-6c9OZf9SsKYVX2tsT6,file,development_plan,Economic Model (Tecolutla Feb 2022)7 (Tec12 13 14 & 15).xlsm,high,3148039,2022-06-20T17:13:40Z,v7.
1Cwq8D9VjigXse-XaDDCJIy0bj3tVGg1C,file,development_plan,Economic Model (Tecolutla Feb 2022)8 (Tec14 HZ).xlsm,high,3122660,2022-06-21T14:45:50Z,v8.
1mO2mEyp0foWocV8rn9zajx4oyz-rTbGc,file,development_plan,Economic Model (Tecolutla Feb 2022)9 (Tec14 HZ).xlsm,high,3118408,2022-06-21T18:17:43Z,v9 - latest by date.
1kNxlMUGvtTW9RpxueOyN7jxNupXjOtbu,file,staff_production,Tecolutla Production Tracking.xlsx,high,371671,2022-12-10T21:09:39Z,"To Dec 2022. Lives in STAFF PRODUCTION TONALLI (1V_Su_OpLDovMckw5r1A62FxBv-dImWP0), not Development Plan. 371,671 B; 2022-12-10."
1WcyXVxWDCfVTA0LfjZ9Z4Phww76HTa-v,file,development_plan,Tec 11 Summary of Costs (Actual and Budgeted).xlsx,medium,66817,2022-04-11T18:05:27Z,Added - actual TEC-11 cost as an AFE escalation anchor (task 8).
1quHZ4SrFQyExvhEOUHRnv6v1Zrj-VxWV,file,development_plan,Tecolutla 10 Final Report (IHS PTA) Spanish.pdf,medium,4523092,2018-10-25T20:21:58Z,Added - TEC-10 pressure transient analysis (task 5).
1eY7X3dpGL9OpJDn8C8UBsLdIz7jnR-9_,file,development_plan,Tecolutla 2 Final Report (IHS PTA) Spanish.pdf,medium,5711721,2018-10-25T20:21:48Z,Added - TEC-2 pressure transient analysis (task 5).
1lFm12tBuBaiV0-22mRvxP3rVg4KD2fOZ,file,development_plan,pvtdoc.pdf,low,22542,2022-03-11T17:00:12Z,Added.
14LjKDBmFpn7jj57sFrsbSwRPRWpxD-Lk,file,tec12_budget_2021,Eduardo's Comments to Drilling Cost Estimate.docx,highest,143590,2021-09-14T18:17:52Z,"FOUND (G-02). 143 KB is inconsistent with a title-only document - read natively for tracked changes, comments or images the connector dropped."
1Rt-cRts4czd7-OO3GSc5ZgnI5Putc3hi,file,tec12_budget_2021,Tec 12.pptx,high,8145385,2021-09-14T18:16:58Z,Sept 2021 budget package deck. Unopened.
1fGiD3qPJhWMkmgKYhPMGzPXo6LFuSwpm,file,tec12_budget_2021,TEC-12 Rough Drilling & Completion Cost Estimate (2).xlsx,medium,43103,2021-09-14T18:15:09Z,Same size as the TEC-12 Drill copy; pulled to confirm byte-identity.
1JaY9tPAe0jRpeZUcAo-udZUDpsLccOCZ,file,ye2020_reserves,TEC-12 Drilling & Completion Cost Estimate.xlsx,high,43581,2021-04-07T22:56:43Z,"Earlier AFE version (Apr 2021, no ""(2)""). Diff against the (2) version in task 8."
1aWaFSTnU9jatgRaa8Z8QwwxzsKBaSiZE,file,ye2020_reserves,PROGRAMA DE PERFORACION TECOLUTLA-12DES VER1.1.pdf,high,5607995,2021-04-07T22:57:19Z,12DES drilling programme v1.1 (Spanish). Latest-dated of four identical-size copies.
1efU0sb7J09j0pnZA9713a-JOutU_YRwa,file,tec12_regulatory,PROGRAMA DE TERMINACION TECOLUTLA-12DES VER1.0.pdf,medium,2553033,2021-07-09T00:17:42Z,"12DES completion programme v1.0, Jul 2021 issue (2.55 MB). A 1.83 MB Feb 2021 issue also exists (1IF_ZFReO6XCrVfCsv5Pz2k--NZB8SI0o)."
1IF_ZFReO6XCrVfCsv5Pz2k--NZB8SI0o,file,tec12_regulatory,PROGRAMA DE TERMINACION TECOLUTLA-12DES VER1.0 (Feb 2021).pdf,low,1826395,2021-02-18T20:02:00Z,"Earlier issue of the completion programme, from the Anexo 3.1.1 regulatory folder."
1eMlvCy-DxgWmr4DNInsyMvBK2da9NqtU,file,tec12_regulatory,Tecolutla-12DES Perforacion.pdf,medium,5651649,2020-09-10T04:47:51Z,Sept 2020 drilling programme submission (Anexo 3.1.1).
1jP6P7uIk6WgYEmcBgxrd86aFsxHFHDIM,file,tec12_regulatory,Programa de perforacion Tecolutla 12.pdf,low,5622352,2021-05-27T19:11:51Z,May 2021 drilling programme issue.
14zn5SCmd08aMt36jRAC7lBjCkllscz6c,file,ye2020_reserves,YE 2020 Reserves (Tecolutla) - Corporate Summary Detail (Final).pdf,high,15925842,2021-04-19T20:55:36Z,"GLJ independent YE2020 reserves evaluation - a third independent forecast view for task 6, absent from the review."
1WBQWnkzW3bG57vde9rfLHl8xojrkZrfR,file,ye2020_reserves,YE 2020 Reserves (Tecolutla) - Corporate Summary.pdf,medium,3907103,2021-04-19T20:55:59Z,GLJ YE2020 summary.
1n6m8ZL6UnctU8IA8A_7sBBzNQ_aT1xfW,file,ye2020_reserves,2021-02-19 Tecolutla YE Reserve Report - Draft (100 ).xlsx,medium,3729354,2021-02-19T22:21:31Z,GLJ draft export workbook - forecast tables in machine-readable form.
1TXnAomMCgB48VO7Sol6KOxwhiNR48XQI,file,ye2020_reserves,Gross Oil Monthly Forecast by Well (Kevin).xlsx,high,203307,2021-03-18T18:01:48Z,Kevin's per-well monthly forecast - task 6 input.
1GVgDMB-qGh8LfE3dfzT4aMfBSGgxVgiA,file,ye2020_reserves,Tonalli - Management Reservoir Engineer Questions 2020.pdf,medium,182679,2021-02-24T18:31:54Z,GLJ evaluator Q&A - may document the forecast basis.
19tTqV3GcNluf92mTeOJ7GI2LSsoRGSDu,file,ye2020_reserves,Tec-12 Drill.pptx,medium,1987901,2021-02-12T17:25:56Z,Feb 2021 TEC-12 deck.
12qxiAXyUnaskmNKfcihB7bYruJAVpQPM,file,geology/tec10_image_log,TECOLUTLA 10_CMI INTERPRETED IMAGE__2487.00m-2280.5m_02MAY2018.pdf,high,14128242,2021-02-06T22:54:34Z,"The TEC-10 image log is a Weatherford CMI, not an FMI (G-09). Interpreted image, 2,280.5-2,487 mMD."
1juM5kCo8XNt4s6-NnfZz69PJ9ncE9Ztg,file,geology/tec10_image_log,TECOLUTLA 10_CMI IMAGE DIPS_2487.00m-2280.5m_02MAY2018.las,high,22661,2018-05-09T21:11:33Z,CMI dip picks as LAS - fracture/bedding dips for task 9. The 194 MB and 620 MB DLIS files are NOT pulled.
1M8-de1bNc3vdrfHimnPwZuPDVoWPpyAR,file,geology/tec10_image_log,Tec-10 Summary Modern day Image (sink hole).pptx,medium,1687412,2018-08-14T17:29:50Z,Karst / sinkhole interpretation on the TEC-10 image - risk section.
1sn8A4vrntN_q6P_jAVZ1T9Ph1rjAJrxk,file,drilling_costs,TEC-11 Drilling Cost Tracker 26Dec2018.xlsx,high,46402,2022-09-20T05:20:07Z,TEC-11 actual cost tracker - AFE escalation anchor (task 8).
1gzR1cHh-gTOTLTXJ6-7NVB23sr6Yd82_,file,drilling_costs,TEC-10 Updated Drilling Cost Summary 15Jun2018.xlsx,high,45919,2022-09-20T05:20:06Z,TEC-10 cost summary - second escalation anchor (task 8).
1qIM_lf_M53wYrt6hntAHcYqV51Iwm62n,file,tec11,Tecolutla 11_Tieback 4 12_Graficas_181218.pptx,medium,462852,2018-12-18T22:19:58Z,"TEC-11 tieback/liner graphs, Dec 2018 - completion-failure evidence for section 5."
1ayn5ddE5ioD9MIIhMfieHz0185OUCU4x,file,tec12_2020,Tec-12 Back-up Slides.pptx,medium,14509963,2020-08-27T19:44:11Z,Aug 2020 back-up slides (14.5 MB).
1DZ-xeQ7n5EAFFl-QipOJPe9ju9J6iuP5,file,tec12_2020,TEC-12 Proposed S-Shaped Well Design.pptx,low,54289,2020-08-25T02:30:06Z,
1_mSzgoCZN5ol48Iv7Plr_Wt03H4pMNyc,file,tec12_2020,ElAbra Depth Tec12.pptx,medium,985447,2020-12-26T18:21:26Z,El Abra depth prognosis at TEC-12 - depth-risk section.
